trade_id,datetime,asset,direction,amount,expiry,outcome,pnl,balance_before,balance_after
13909823890,2026-05-19 12:28:00.677140,EURUSD-OTC,call,6.8,1,win,4.98,3401.47,3406.45
13909824774,2026-05-19 12:29:00.707639,EURUSD-OTC,call,6.81,1,win,4.98,3406.45,3411.43
13909825951,2026-05-19 12:30:00.639022,EURUSD-OTC,call,6.82,1,win,4.98,3411.43,3416.41
13909827289,2026-05-19 12:31:00.664422,EURUSD-OTC,call,6.83,1,loss,-6.0,3416.41,3410.41
13909828618,2026-05-19 12:32:00.955066,EURUSD-OTC,put,6.82,1,win,4.98,3410.41,3415.39
13909829783,2026-05-19 12:33:00.494695,EURUSD-OTC,put,6.83,1,win,4.98,3415.39,3420.37
13909831022,2026-05-19 12:34:00.627628,EURUSD-OTC,put,6.84,1,loss,-6.0,3420.37,3414.37
13909832299,2026-05-19 12:35:00.997582,EURUSD-OTC,call,6.83,1,loss,-6.0,3414.37,3408.37
13909833439,2026-05-19 12:36:00.653456,EURUSD-OTC,put,6.82,1,win,4.98,3408.37,3413.35
13909834567,2026-05-19 12:37:00.675667,EURUSD-OTC,put,6.83,1,loss,-6.0,3413.35,3407.35
13909835462,2026-05-19 12:38:00.821810,EURUSD-OTC,call,6.81,1,loss,-6.0,3407.35,3401.35
13909836419,2026-05-19 12:39:00.842651,EURUSD-OTC,put,6.8,1,loss,-6.0,3401.35,3395.35
13909837503,2026-05-19 12:40:00.803801,EURUSD-OTC,call,6.79,1,win,4.98,3395.35,3400.33
13909838413,2026-05-19 12:41:00.819723,EURUSD-OTC,call,6.8,1,win,4.98,3400.33,3405.31
13909839374,2026-05-19 12:42:00.897253,EURUSD-OTC,call,6.81,1,win,4.98,3405.31,3410.29
13909840530,2026-05-19 12:43:01.336172,EURUSD-OTC,call,6.82,1,loss,-6.0,3410.29,3404.29
13909841584,2026-05-19 12:44:00.887066,EURUSD-OTC,put,6.81,1,win,4.98,3404.29,3409.27
13909842927,2026-05-19 12:45:01.083470,EURUSD-OTC,put,6.82,1,win,4.98,3409.27,3414.25
13909844317,2026-05-19 12:46:00.547709,EURUSD-OTC,put,6.83,1,win,4.98,3414.25,3419.23
