trade_id,datetime,asset,direction,amount,expiry,outcome,pnl,balance_before,balance_after
56994,2026-06-18 15:29:06.007301,USDNGN-OTC,call,20.44,2,win,17.2,10220.52,10237.72
9934177,2026-06-18 15:33:05.994900,USDNGN-OTC,call,20.48,2,win,17.2,10237.72,10254.92
140574,2026-06-18 15:36:06.015186,USDNGN-OTC,put,20.51,2,loss,-20.0,10254.92,10234.92
114975,2026-06-18 15:40:06.012498,USDNGN-OTC,put,20.47,2,win,17.2,10234.92,10252.12
223157,2026-06-18 15:44:06.023466,USDNGN-OTC,put,20.5,2,loss,-20.0,10252.12,10232.12
9497995,2026-06-18 15:48:05.951846,USDNGN-OTC,put,20.46,2,win,17.2,10232.12,10249.32
304408,2026-06-18 15:51:06.031977,USDNGN-OTC,put,20.5,2,win,103.2,10249.32,10352.52
9862502,2026-06-18 15:55:05.987192,USDNGN-OTC,call,20.71,2,loss,-20.0,10352.52,10332.52
180705,2026-06-18 15:58:06.019395,USDNGN-OTC,put,20.67,2,loss,-20.0,10332.52,10312.52
113926,2026-06-18 16:02:06.012260,USDNGN-OTC,call,20.63,2,win,17.2,10312.52,10329.72
9902663,2026-06-18 16:06:05.999501,USDNGN-OTC,put,20.66,2,loss,-32.8,10329.72,10296.92
43607,2026-06-18 16:09:06.005879,USDNGN-OTC,call,20.59,2,win,17.2,10296.92,10314.12
0351317,2026-06-18 16:32:06.036284,USDNGN-OTC,put,20.59,2,loss,-20.0,10294.12,10274.12
0206463,2026-06-18 16:37:06.021777,USDNGN-OTC,call,20.55,2,loss,-20.0,10274.12,10254.12
0095837,2026-06-18 16:41:06.010845,USDNGN-OTC,call,20.51,2,win,17.2,10254.12,10271.32
0220559,2026-06-18 16:49:06.023413,USDNGN-OTC,put,20.54,2,win,17.2,10271.32,10288.52
189387,2026-06-18 16:53:06.190656,USDNGN-OTC,call,20.58,2,win,17.2,10288.52,10305.72
